Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SecondSuite,,,2018-11-03 21:15:49,2018-11-03 21:18:15,2m - 26.219s,FAILED
,,,,,,
Test Cases/InputText,,,2018-11-03 21:15:50,2018-11-03 21:16:49,59.244s,PASSED
startApplication,,,2018-11-03 21:15:50,2018-11-03 21:16:31,41.005s,PASSED
tap,,,2018-11-03 21:16:31,2018-11-03 21:16:34,2.237s,PASSED
tap,,,2018-11-03 21:16:34,2018-11-03 21:16:35,1.637s,PASSED
tap,,,2018-11-03 21:16:35,2018-11-03 21:16:36,1.036s,PASSED
tap,,,2018-11-03 21:16:36,2018-11-03 21:16:38,1.610s,PASSED
setText,,,2018-11-03 21:16:38,2018-11-03 21:16:39,1.311s,PASSED
hideKeyboard,,,2018-11-03 21:16:39,2018-11-03 21:16:41,1.728s,PASSED
tap,,,2018-11-03 21:16:41,2018-11-03 21:16:43,1.979s,PASSED
closeApplication,,,2018-11-03 21:16:43,2018-11-03 21:16:49,6.189s,PASSED
,,,,,,
Test Cases/ScrollTest,,,2018-11-03 21:16:49,2018-11-03 21:18:12,1m - 22.696s,FAILED
startApplication,,,2018-11-03 21:16:49,2018-11-03 21:17:28,38.345s,PASSED
tap,,,2018-11-03 21:17:28,2018-11-03 21:17:29,1.666s,PASSED
scrollToText,,,2018-11-03 21:17:29,2018-11-03 21:17:37,7.756s,PASSED
tap,,,2018-11-03 21:17:37,2018-11-03 21:17:39,1.520s,PASSED
tap,,,2018-11-03 21:17:39,2018-11-03 21:17:40,0.874s,PASSED
tap,,,2018-11-03 21:17:40,2018-11-03 21:18:12,32.206s,FAILED
